1,9290,2013-11-07 04:34:56 -0800,1,1
2,2262,2013-11-10 02:44:56 -0800,1,1
3,9588,2013-11-13 01:49:37 -0800,1,1
4,1634,2013-11-06 20:44:00 -0800,1,1
5,4440,2013-11-10 05:19:05 -0800,1,1
6,6950,2013-11-11 11:29:52 -0800,1,1
7,4095,2013-11-12 14:38:29 -0800,1,1
8,5727,2013-11-12 06:03:54 -0800,2,2
9,9128,2013-11-13 01:48:15 -0800,3,4
10,5160,2013-11-08 04:31:41 -0800,3,4
11,1030,2013-11-10 18:56:53 -0800,3,4
12,5179,2013-11-08 16:36:03 -0800,3,4
13,3450,2013-11-12 12:00:35 -0800,3,4
14,4978,2013-11-10 01:51:24 -0800,3,4
15,8924,2013-11-10 11:31:16 -0800,3,4
16,2277,2013-11-09 01:16:47 -0800,3,4
17,3442,2013-11-10 04:16:12 -0800,4,7
18,5375,2013-11-08 12:21:41 -0800,4,5
19,9035,2013-11-11 03:37:15 -0800,4,6
20,51,2013-11-10 09:48:05 -0800,4,5
21,8963,2013-11-10 12:26:30 -0800,4,7
22,7180,2013-11-12 06:40:46 -0800,5,9
23,8382,2013-11-09 08:13:09 -0800,5,8
24,3776,2013-11-08 16:12:20 -0800,5,8
25,4951,2013-11-09 23:42:41 -0800,5,9
26,9690,2013-11-09 21:45:12 -0800,5,9
27,2851,2013-11-13 04:14:40 -0800,5,10
28,9015,2013-11-06 14:19:49 -0800,5,8
29,8445,2013-11-11 06:44:12 -0800,5,8
30,7459,2013-11-10 01:44:14 -0800,5,8
31,2977,2013-11-09 10:57:21 -0800,6,13
32,1980,2013-11-12 03:41:53 -0800,7,14
33,8559,2013-11-11 06:26:33 -0800,7,14
34,6027,2013-11-07 13:01:30 -0800,7,14
35,8375,2013-11-10 17:04:00 -0800,7,14
36,6433,2013-11-11 15:39:50 -0800,7,14
37,6350,2013-11-07 20:25:38 -0800,7,14
38,1995,2013-11-11 16:20:22 -0800,7,14
39,9348,2013-11-08 10:38:56 -0800,8,17
40,5432,2013-11-12 01:22:56 -0800,8,15
41,4263,2013-11-08 16:36:05 -0800,8,16
42,3043,2013-11-07 12:01:03 -0800,8,17
43,8222,2013-11-13 05:56:55 -0800,8,17
44,1458,2013-11-10 01:42:35 -0800,8,17
45,7011,2013-11-07 20:57:31 -0800,8,18
46,9111,2013-11-08 16:05:24 -0800,8,18
47,8150,2013-11-08 00:40:59 -0800,8,15
48,2510,2013-11-10 00:43:31 -0800,9,21
49,3697,2013-11-11 18:43:56 -0800,9,20
50,5420,2013-11-07 19:30:03 -0800,9,19
51,9341,2013-11-09 10:18:19 -0800,9,21
52,3461,2013-11-13 05:05:00 -0800,9,22
53,844,2013-11-08 21:50:58 -0800,10,27
54,1410,2013-11-12 23:13:10 -0800,10,27
55,9333,2013-11-09 15:44:59 -0800,10,25
56,2731,2013-11-10 01:37:13 -0800,10,25
57,5017,2013-11-12 19:57:23 -0800,10,27
58,4111,2013-11-11 00:27:44 -0800,10,26
59,3233,2013-11-08 11:50:45 -0800,10,23
60,5949,2013-11-11 02:43:04 -0800,10,23
61,626,2013-11-07 15:47:38 -0800,11,28
62,8296,2013-11-07 00:31:35 -0800,11,32
63,4522,2013-11-08 23:23:56 -0800,11,28
64,8362,2013-11-07 05:30:08 -0800,11,30
65,9460,2013-11-13 00:58:12 -0800,11,32
66,9711,2013-11-11 15:36:04 -0800,12,35
67,963,2013-11-08 15:12:25 -0800,12,33
68,295,2013-11-10 01:21:48 -0800,12,33
69,10,2013-11-10 00:03:56 -0800,13,38
70,2838,2013-11-09 13:30:15 -0800,13,38
71,564,2013-11-08 18:43:45 -0800,14,40
72,593,2013-11-08 04:55:34 -0800,14,40
73,4154,2013-11-08 18:31:12 -0800,14,40
74,6070,2013-11-10 19:58:53 -0800,15,41
75,7256,2013-11-07 11:12:18 -0800,15,41
76,6071,2013-11-08 11:28:57 -0800,15,41
77,5365,2013-11-09 07:35:23 -0800,15,41
78,886,2013-11-08 23:59:36 -0800,15,44
79,9682,2013-11-13 07:13:19 -0800,15,41
80,8084,2013-11-09 06:20:31 -0800,15,44
81,4991,2013-11-08 20:28:54 -0800,16,47
82,6867,2013-11-07 07:58:18 -0800,16,48
83,8415,2013-11-06 11:29:41 -0800,16,47
84,8790,2013-11-08 02:15:19 -0800,16,46
85,2832,2013-11-10 00:44:12 -0800,16,48
86,7454,2013-11-11 07:56:35 -0800,16,48
87,2497,2013-11-11 04:54:54 -0800,16,45
88,9679,2013-11-09 14:17:35 -0800,17,50
89,3313,2013-11-12 13:20:28 -0800,17,50
90,1793,2013-11-10 10:11:20 -0800,17,50
91,6010,2013-11-10 01:42:37 -0800,17,50
92,434,2013-11-11 00:18:23 -0800,17,50
93,3654,2013-11-11 09:42:24 -0800,17,50
94,4170,2013-11-11 03:55:44 -0800,18,52
95,5579,2013-11-06 10:07:58 -0800,18,51
96,2289,2013-11-10 17:23:48 -0800,19,57
97,8743,2013-11-08 04:24:05 -0800,19,56
98,3187,2013-11-10 17:03:33 -0800,19,57
99,6930,2013-11-10 13:23:07 -0800,19,55
100,4573,2013-11-08 15:18:32 -0800,19,56
